frame_num,id,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax
0,-1,261.01556,813.442,363.8653,1072.6233
0,-1,1614.0576,636.93494,1704.6937,837.9107700000001
0,-1,883.4231599999999,416.066,966.3742699999999,594.0654
0,-1,1456.644,47.858955,1525.2253,168.81123
0,-1,1654.7579999999998,133.83751999999998,1710.1748,273.05527
0,-1,884.9766,89.41592,939.6161,212.6724
0,-1,807.62195,257.39367999999996,850.0178,409.43402000000003
0,-1,1314.1871,25.436577,1397.6904,125.780846
0,-1,722.677,242.115,773.56085,390.4052
0,-1,1808.9227,197.47063,1855.7985,350.15155
0,-1,2.0016727,283.58536000000004,80.05539,435.5847
0,-1,988.1653,1.7953636999999998,1027.8523,115.18675
0,-1,292.02227999999997,311.615,347.3231,461.0766
0,-1,1592.2471,934.738,1710.3427,1069.488
0,-1,134.06088,135.21515,238.43335,404.24417
0,-1,359.51562,164.48042,393.56845,285.1247
0,-1,1164.8629,2.535318,1187.1117,67.21179000000001
0,-1,282.15767999999997,256.10882999999995,345.02283,328.09955
0,-1,1840.6170000000002,277.80356,1885.1195,344.89966
0,-1,1332.7168,3.2961078,1350.6956,40.91835
1,-1,1613.6459,638.7233,1707.3601,839.27185
1,-1,878.89716,417.8706,960.65594,590.275
1,-1,252.36719,818.5210599999999,352.00394,1072.6964
1,-1,1458.4039,47.510017,1526.0431,171.72021
1,-1,886.86005,88.003876,938.6922599999999,211.89542000000003
1,-1,1654.5999,129.39468,1710.0258,271.9185
1,-1,808.9172,254.67432999999997,854.3100599999999,409.88876
1,-1,293.02124,320.72213999999997,344.12936,463.82485999999994
1,-1,725.5090299999999,240.90407000000002,773.0905,390.85782
1,-1,1755.3202,194.54913,1916.0922,347.66528
1,-1,1.2603493000000001,283.03112999999996,79.82074,434.73395
1,-1,1357.172,22.210855,1402.7576,151.20838999999998
1,-1,991.5088,1.7835214,1028.1179,116.30438000000001
1,-1,291.27255,255.94707999999997,362.37134,400.90994
1,-1,131.98386000000002,134.67397,237.14282000000003,348.61807000000005
1,-1,1591.1855,943.52216,1719.0513,1071.3878
1,-1,359.4576,164.87984,393.47125,281.49805
1,-1,1841.1897,280.70126,1885.2112,344.1439
1,-1,1151.7546,1.5369738000000002,1183.5541,72.55575999999999
1,-1,1330.8093,0.94122887,1349.3093,40.537754
2,1,1331.8175454087338,0.6400380017066212,1350.0048973688201,38.789595063396064
2,2,1614.599069203408,640.6568809930892,1704.0467253710958,838.4380430592287
2,3,876.1665649035037,420.42269896276304,956.5094778362272,592.7898934203706
2,4,1457.6005900227515,46.24135415062337,1529.0244910015415,172.45141642765842
2,5,1653.9752315265905,129.4663029217618,1710.3062224691828,271.0616555435156
2,6,886.2738113469778,87.26869350919964,941.6329248195308,212.60198254208
2,7,813.5610008642308,253.452311166094,856.7538837656227,408.26477531588966
2,8,1335.6991437748095,21.604115906191172,1429.7761557380288,137.61529512538308
