imgs/train/bookstore_video0_50.jpg,769,899,812,940,Pedestrian
imgs/train/bookstore_video0_50.jpg,840,174,884,219,Pedestrian
imgs/train/bookstore_video0_50.jpg,399,999,419,1031,Pedestrian
imgs/train/bookstore_video0_50.jpg,419,1033,446,1067,Pedestrian
imgs/train/bookstore_video0_50.jpg,587,976,626,1013,Pedestrian
imgs/train/bookstore_video0_50.jpg,888,258,941,308,Pedestrian
imgs/train/bookstore_video0_50.jpg,644,845,704,886,Biker
imgs/train/bookstore_video0_50.jpg,852,829,911,879,Biker
imgs/train/bookstore_video0_50.jpg,1093,806,1113,834,Pedestrian
imgs/train/bookstore_video0_50.jpg,1069,795,1097,822,Pedestrian
imgs/train/bookstore_video0_50.jpg,1040,772,1077,806,Pedestrian
imgs/train/bookstore_video0_50.jpg,1032,750,1081,793,Pedestrian
imgs/train/bookstore_video0_50.jpg,891,754,951,806,Biker
imgs/train/bookstore_video0_50.jpg,413,1010,433,1040,Pedestrian
imgs/train/bookstore_video0_50.jpg,1101,557,1153,609,Pedestrian
imgs/train/bookstore_video0_50.jpg,1060,779,1087,811,Pedestrian
imgs/train/bookstore_video0_100.jpg,801,902,844,942,Pedestrian
imgs/train/bookstore_video0_100.jpg,806,179,850,224,Pedestrian
imgs/train/bookstore_video0_100.jpg,399,1001,419,1033,Pedestrian
imgs/train/bookstore_video0_100.jpg,425,1035,452,1067,Pedestrian
imgs/train/bookstore_video0_100.jpg,589,979,628,1015,Pedestrian
imgs/train/bookstore_video0_100.jpg,852,292,903,342,Pedestrian
imgs/train/bookstore_video0_100.jpg,828,800,888,840,Biker
imgs/train/bookstore_video0_100.jpg,975,727,1034,777,Biker
imgs/train/bookstore_video0_100.jpg,1123,779,1143,806,Pedestrian
imgs/train/bookstore_video0_100.jpg,1097,772,1125,800,Pedestrian
imgs/train/bookstore_video0_100.jpg,1081,745,1105,772,Pedestrian
imgs/train/bookstore_video0_100.jpg,1071,718,1121,761,Pedestrian
imgs/train/bookstore_video0_100.jpg,1024,682,1083,734,Biker
imgs/train/bookstore_video0_100.jpg,413,1010,433,1040,Pedestrian
imgs/train/bookstore_video0_100.jpg,1032,537,1083,587,Pedestrian
imgs/train/bookstore_video0_100.jpg,1087,761,1115,793,Pedestrian
imgs/train/bookstore_video0_250.jpg,808,884,852,924,Pedestrian
imgs/train/bookstore_video0_250.jpg,587,1001,617,1038,Pedestrian
imgs/train/bookstore_video0_250.jpg,717,176,751,217,Pedestrian
imgs/train/bookstore_video0_250.jpg,401,1006,421,1038,Pedestrian
imgs/train/bookstore_video0_250.jpg,425,1022,452,1054,Pedestrian
imgs/train/bookstore_video0_250.jpg,543,967,583,1004,Pedestrian
imgs/train/bookstore_video0_250.jpg,731,387,783,437,Pedestrian
